model,fold,n_test,n_positive,n_negative,auc,brier,accuracy_at_0.5,balanced_accuracy_at_0.5,best_params
Penalized logistic regression,1,39,26,13,0.4171597633136094,0.2876549646049633,0.5384615384615384,0.5384615384615384,"{""model__C"": 10.0, ""model__penalty"": ""l1""}"
Random forest,1,39,26,13,0.6331360946745562,0.2170411587288894,0.6666666666666666,0.5769230769230769,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}"
Gradient boosting,1,39,26,13,0.7218934911242604,0.19342983274368655,0.6923076923076923,0.576923076923077,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}"
Support vector machine,1,39,26,13,0.5,0.22672504245562303,0.717948717948718,0.5961538461538461,"{""model__C"": 3.0, ""model__gamma"": 0.1}"
Penalized logistic regression,2,39,27,12,0.5339506172839505,0.2837899186023219,0.5641025641025641,0.5462962962962963,"{""model__C"": 10.0, ""model__penalty"": ""l1""}"
Random forest,2,39,27,12,0.6203703703703703,0.2120104630099833,0.6923076923076923,0.5462962962962963,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
Gradient boosting,2,39,27,12,0.5061728395061729,0.24401743428463923,0.6410256410256411,0.46296296296296297,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Support vector machine,2,39,27,12,0.5833333333333333,0.20961459709760893,0.6923076923076923,0.5,"{""model__C"": 10.0, ""model__gamma"": ""scale""}"
Penalized logistic regression,3,39,27,12,0.5,0.2449782560654672,0.6923076923076923,0.5,"{""model__C"": 0.01, ""model__penalty"": ""l1""}"
Random forest,3,39,27,12,0.4814814814814815,0.2609680267501685,0.5897435897435898,0.44907407407407407,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 2}"
Gradient boosting,3,39,27,12,0.5277777777777778,0.24445994431257148,0.6923076923076923,0.5925925925925926,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Support vector machine,3,39,27,12,0.5493827160493827,0.2115204536266561,0.6923076923076923,0.5,"{""model__C"": 3.0, ""model__gamma"": ""scale""}"
Penalized logistic regression,4,38,26,12,0.5,0.25396970522969736,0.3157894736842105,0.5,"{""model__C"": 0.01, ""model__penalty"": ""l1""}"
Random forest,4,38,26,12,0.6153846153846154,0.23156926166527805,0.6052631578947368,0.5769230769230769,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 2}"
Gradient boosting,4,38,26,12,0.5993589743589743,0.27604693211983156,0.5789473684210527,0.5128205128205128,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Support vector machine,4,38,26,12,0.6794871794871795,0.19890232405962371,0.6842105263157895,0.5448717948717949,"{""model__C"": 10.0, ""model__gamma"": 0.1}"
Penalized logistic regression,5,38,26,12,0.2692307692307692,0.2552799372731378,0.39473684210526316,0.3333333333333333,"{""model__C"": 0.1, ""model__penalty"": ""l1""}"
Random forest,5,38,26,12,0.8782051282051281,0.1783379139532278,0.7368421052631579,0.6955128205128205,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}"
Gradient boosting,5,38,26,12,0.8173076923076923,0.15687256270465677,0.7894736842105263,0.7115384615384616,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Support vector machine,5,38,26,12,0.625,0.21456551585097733,0.6842105263157895,0.5,"{""model__C"": 10.0, ""model__gamma"": 0.01}"
