model,fold,y_true,probability
Penalized logistic regression,1,0,0.38720464807866456
Penalized logistic regression,1,0,0.49619430922178737
Penalized logistic regression,1,0,0.4897961671795235
Penalized logistic regression,1,1,0.7446123731769253
Penalized logistic regression,1,0,0.5878977227153293
Penalized logistic regression,1,1,0.5683682989366969
Penalized logistic regression,1,1,0.6997293685343092
Penalized logistic regression,1,0,0.5961238128103177
Penalized logistic regression,1,0,0.5770068196927792
Penalized logistic regression,1,1,0.41860342391488475
Penalized logistic regression,1,0,0.3776363584504461
Penalized logistic regression,1,1,0.38463284045772617
Penalized logistic regression,1,1,0.38417104954660153
Penalized logistic regression,1,1,0.3490640067597272
Penalized logistic regression,1,1,0.5638279037756728
Penalized logistic regression,1,1,0.4161733536454477
Penalized logistic regression,1,1,0.5289257787263965
Penalized logistic regression,1,1,0.47797619497510213
Penalized logistic regression,1,1,0.5608228134489981
Penalized logistic regression,1,1,0.525899709807442
Penalized logistic regression,1,1,0.3765255314176084
Penalized logistic regression,1,0,0.6001132053844299
Penalized logistic regression,1,0,0.3858171515845236
Penalized logistic regression,1,1,0.5097531615068885
Penalized logistic regression,1,1,0.500643871783834
Penalized logistic regression,1,0,0.4894797620179354
Penalized logistic regression,1,0,0.7199223199057191
Penalized logistic regression,1,0,0.8306121800842322
Penalized logistic regression,1,1,0.678772353700098
Penalized logistic regression,1,1,0.7168959265671235
Penalized logistic regression,1,1,0.628938030886129
Penalized logistic regression,1,1,0.4299460049410955
Penalized logistic regression,1,1,0.21465642603257512
Penalized logistic regression,1,1,0.6161891480603496
Penalized logistic regression,1,1,0.3895612649813002
Penalized logistic regression,1,1,0.2797309360198431
Penalized logistic regression,1,1,0.26278980358636084
Penalized logistic regression,1,0,0.449141204973556
Penalized logistic regression,1,1,0.5314274763079584
Random forest,1,0,0.4669680737909137
Random forest,1,0,0.27267708828852255
Random forest,1,0,0.5001605567521884
Random forest,1,1,0.6047727722530691
Random forest,1,0,0.5475784474299216
Random forest,1,1,0.5146548481816178
Random forest,1,1,0.6204993135662347
Random forest,1,0,0.5501672216125504
Random forest,1,0,0.3946146916867753
Random forest,1,1,0.5785218698458715
Random forest,1,0,0.6600293006974001
Random forest,1,1,0.7105282550967604
Random forest,1,1,0.6236349357569708
Random forest,1,1,0.4035618127241708
Random forest,1,1,0.7873334134358194
Random forest,1,1,0.3884856171432616
Random forest,1,1,0.6457294988750102
Random forest,1,1,0.6158938690438428
Random forest,1,1,0.7261659267812545
Random forest,1,1,0.48005879709647775
Random forest,1,1,0.5513823860991992
Random forest,1,0,0.6633749265280147
Random forest,1,0,0.5447210593705469
Random forest,1,1,0.5087902301438879
Random forest,1,1,0.6877987794416652
Random forest,1,0,0.47223385833088194
Random forest,1,0,0.5941908312316603
Random forest,1,0,0.6225908340424451
Random forest,1,1,0.502218398681344
Random forest,1,1,0.7916697142814637
Random forest,1,1,0.7302783392848287
Random forest,1,1,0.5783004851990037
