model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
Penalized logistic regression,0.01,0.6807452766001989,0.6807452766001989,0.0
Penalized logistic regression,0.02,0.6774875753410172,0.6774875753410172,0.0
Penalized logistic regression,0.03,0.6741627049837081,0.6741627049837081,0.0
Penalized logistic regression,0.04,0.6707685664939551,0.6707685664939551,0.0
Penalized logistic regression,0.05,0.6673029724570494,0.6673029724570494,0.0
Penalized logistic regression,0.06,0.6637636423768052,0.6637636423768052,0.0
Penalized logistic regression,0.07,0.6601481976711794,0.6601481976711794,0.0
Penalized logistic regression,0.08,0.6564541563415184,0.6564541563415184,0.0
Penalized logistic regression,0.09,0.6526789272903263,0.6526789272903263,0.0
Penalized logistic regression,0.1,0.6488198042602188,0.6488198042602188,0.0
Penalized logistic regression,0.11,0.6448739593642662,0.6448739593642662,0.0
Penalized logistic regression,0.12,0.6408384361752237,0.6408384361752237,0.0
Penalized logistic regression,0.13,0.6367101423381574,0.6367101423381574,0.0
Penalized logistic regression,0.14,0.6324858416676707,0.6324858416676707,0.0
Penalized logistic regression,0.15,0.6281621456872905,0.6281621456872905,0.0
Penalized logistic regression,0.16,0.6237355045645201,0.6237355045645201,0.0
Penalized logistic regression,0.17,0.6192021973905987,0.6192021973905987,0.0
Penalized logistic regression,0.18,0.6145583217490206,0.6145583217490206,0.0
Penalized logistic regression,0.19,0.6097997825113541,0.6097997825113541,0.0
Penalized logistic regression,0.2,0.604922279792746,0.604922279792746,0.0
Penalized logistic regression,0.21,0.5947399488423952,0.5999212959926543,0.0
Penalized logistic regression,0.22,0.5844293875381957,0.5947920818387139,0.0
Penalized logistic regression,0.23,0.5791669470425946,0.5895296413431128,0.0
Penalized logistic regression,0.24,0.5737660212707936,0.5841287155713117,0.0
Penalized logistic regression,0.25,0.5682210708117443,0.5785837651122625,0.0
Penalized logistic regression,0.26,0.557344909676516,0.5728889511272931,0.0
Penalized logistic regression,0.27,0.5463127262403293,0.5670381148413656,0.0
Penalized logistic regression,0.28,0.5351180195739781,0.5610247553252734,0.0
Penalized logistic regression,0.29,0.528935269648982,0.5548420054002773,0.0
Penalized logistic regression,0.3,0.5225758697261288,0.5484826054774241,0.0
Penalized logistic regression,0.31,0.51085079222047,0.5419388751220244,0.0
Penalized logistic regression,0.32,0.5041145992075586,0.535202682109113,0.0
Penalized logistic regression,0.33,0.4971773258062021,0.5282654087077565,0.0
Penalized logistic regression,0.34,0.48484848484848475,0.5211179149002982,0.0
Penalized logistic regression,0.35,0.47229972100438417,0.5137504982064567,0.0
Penalized logistic regression,0.36,0.46470207253886003,0.5061528497409327,0.0
Penalized logistic regression,0.37,0.4568632288839542,0.4983140060860268,0.0
Penalized logistic regression,0.38,0.4467658365368545,0.4902222965067692,0.0
Penalized logistic regression,0.39,0.4296271128854158,0.4818652849740932,0.0
Penalized logistic regression,0.4,0.4196891191709844,0.47322970639032813,0.0
Penalized logistic regression,0.41,0.40616492491437606,0.4643013963291473,0.0
Penalized logistic regression,0.42,0.381990351974272,0.45506521350723605,0.0
Penalized logistic regression,0.43,0.37178438323788754,0.4455049540950823,0.0
Penalized logistic regression,0.44,0.3708364174685418,0.43560325684678014,0.0
Penalized logistic regression,0.45,0.365991521431936,0.42534149788035797,0.0
Penalized logistic regression,0.46,0.3567453463826521,0.41469967376703126,0.0
Penalized logistic regression,0.47,0.34138234431518233,0.40365627138527715,0.0
Penalized logistic regression,0.48,0.3156636110003986,0.3921881227580709,0.0
Penalized logistic regression,0.49,0.22990958041247586,0.38027024281215077,0.0
Penalized logistic regression,0.5,0.18652849740932645,0.36787564766839376,0.0
Penalized logistic regression,0.51,0.15470022205773498,0.35497515068203445,0.0
Penalized logistic regression,0.52,0.07167530224525043,0.3415371329879101,0.0
Penalized logistic regression,0.53,0.06526292580751844,0.3275272847536103,0.0
Penalized logistic regression,0.54,0.06352782158143726,0.31290831268303665,0.0
Penalized logistic regression,0.55,0.05699481865284973,0.2976396085204374,0.0
Penalized logistic regression,0.56,0.04945831370701836,0.28167687235044736,0.0
Penalized logistic regression,0.57,0.031449572237619,0.26497168333534166,0.0
Penalized logistic regression,0.58,0.015297310634098199,0.24747100912904024,0.0
Penalized logistic regression,0.59,0.0203462656388222,0.22911664349804123,0.0
Penalized logistic regression,0.6,0.02072538860103628,0.20984455958549225,0.0
Penalized logistic regression,0.61,0.026836721137239276,0.18958416367742792,0.0
Penalized logistic regression,0.62,0.014725934005999461,0.16825743114262337,0.0
Penalized logistic regression,0.63,0.0077020025206553724,0.1457779022545862,0.0
