model,repeat,fold,n_test,n_positive,n_negative,fixed_params_from_primary_cv,auc,average_precision,brier,accuracy_at_0.5,balanced_accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,mcc_at_0.5
Penalized logistic regression,1,1,39,26,13,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.5355029585798816,0.720047516089915,0.25471716662408,0.48717948717948717,0.4807692307692308,0.65,0.5,0.5652173913043478,-0.03627381250550058
Random forest,1,1,39,26,13,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.6893491124260355,0.829589047033675,0.21392577238101618,0.6153846153846154,0.5192307692307693,0.6774193548387096,0.8076923076923077,0.7368421052631579,0.04490132550669372
Gradient boosting,1,1,39,26,13,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.7130177514792899,0.8534372013995785,0.21724123391035094,0.6666666666666666,0.5384615384615385,0.6857142857142857,0.9230769230769231,0.7868852459016393,0.11952286093343936
Support vector machine,1,1,39,26,13,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.7011834319526626,0.8153494273860709,0.21491263709125696,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.0
Penalized logistic regression,1,2,39,27,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.5802469135802468,0.7486948044413709,0.24518535487196289,0.5641025641025641,0.5231481481481481,0.7083333333333334,0.6296296296296297,0.6666666666666666,0.04392052305789416
Random forest,1,2,39,27,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.7438271604938271,0.8837138511117062,0.19316719593342704,0.6923076923076923,0.6157407407407407,0.7586206896551724,0.8148148148148148,0.7857142857142857,0.24467509146445976
Gradient boosting,1,2,39,27,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.7962962962962963,0.9064823908960422,0.16753692615240628,0.7948717948717948,0.6898148148148148,0.7878787878787878,0.9629629629629629,0.8666666666666667,0.4856238539211127
Support vector machine,1,2,39,27,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.5740740740740741,0.7946908376933586,0.20855452645266803,0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,0.0
Penalized logistic regression,1,3,39,27,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.5,0.7235070017863374,0.2842361376208315,0.5641025641025641,0.5462962962962963,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.08618128166583654
Random forest,1,3,39,27,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.5802469135802469,0.7833083033881607,0.2275996222896554,0.6410256410256411,0.5555555555555556,0.7241379310344828,0.7777777777777778,0.75,0.11744404390294069
Gradient boosting,1,3,39,27,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.5725308641975309,0.7819793887372088,0.227024466933847,0.6410256410256411,0.5092592592592593,0.696969696969697,0.8518518518518519,0.7666666666666667,0.023688968483956716
Support vector machine,1,3,39,27,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.6203703703703703,0.7870922583143172,0.2078375521903014,0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,0.0
Penalized logistic regression,1,4,38,26,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.4294871794871795,0.6676441017634112,0.27890894374135755,0.4473684210526316,0.41666666666666663,0.6190476190476191,0.5,0.5531914893617021,-0.1558087841476009
Random forest,1,4,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.5769230769230769,0.7649718192042635,0.22699812803756228,0.6052631578947368,0.532051282051282,0.7037037037037037,0.7307692307692307,0.7169811320754716,0.0657013773321203
Gradient boosting,1,4,38,26,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.5897435897435898,0.7874032029453841,0.22945627575457705,0.6578947368421053,0.5032051282051282,0.6857142857142857,0.9230769230769231,0.7868852459016393,0.0110498924021966
Support vector machine,1,4,38,26,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.5128205128205128,0.7346690541310754,0.22939607504976117,0.631578947368421,0.46153846153846156,0.6666666666666666,0.9230769230769231,0.7741935483870968,-0.16012815380508716
Penalized logistic regression,1,5,38,26,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.48397435897435903,0.7113516239428899,0.26567069469949756,0.47368421052631576,0.45833333333333337,0.65,0.5,0.5652173913043478,-0.0775791113542719
Random forest,1,5,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.5384615384615384,0.71140090340979,0.24064187795754896,0.6578947368421053,0.5705128205128205,0.7241379310344828,0.8076923076923077,0.7636363636363637,0.15418961562809935
Gradient boosting,1,5,38,26,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.5480769230769231,0.6990665205229935,0.2301483018696142,0.6578947368421053,0.5480769230769231,0.7096774193548387,0.8461538461538461,0.7719298245614035,0.11529596026942478
Support vector machine,1,5,38,26,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.5641025641025641,0.7184361343859244,0.21457362106162528,0.6578947368421053,0.4807692307692308,0.6756756756756757,0.9615384615384616,0.7936507936507936,-0.11168711865749101
Penalized logistic regression,2,1,39,26,13,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.57396449704142,0.7391531230731817,0.23797453176088473,0.5897435897435898,0.5769230769230769,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.14625448482542613
Random forest,2,1,39,26,13,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.7662721893491125,0.8789714957901726,0.2027006165898748,0.717948717948718,0.6730769230769231,0.7777777777777778,0.8076923076923077,0.7924528301886793,0.3535533905932738
Gradient boosting,2,1,39,26,13,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.7899408284023668,0.8839392550517302,0.18007616812984034,0.717948717948718,0.6153846153846154,0.7272727272727273,0.9230769230769231,0.8135593220338984,0.30151134457776363
Support vector machine,2,1,39,26,13,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.6863905325443787,0.7310484555217756,0.21869216665256216,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.0
Penalized logistic regression,2,2,39,27,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.5185185185185184,0.6984434824557342,0.27143944218767035,0.5128205128205128,0.48611111111111116,0.6818181818181818,0.5555555555555556,0.6122448979591837,-0.02585438449975096
